setid,"MolaLity of L-aminosuccinic acid, mol/kg","Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
irWWQ,0.0097,0.05,298.15,100,999.29,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0097,0.05,308.15,100,996.15,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0102,0.03,288.15,100,1000.78,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0102,0.03,298.15,100,998.65,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0102,0.03,308.15,100,995.56,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0198,0.03,288.15,100,1001.36,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0198,0.03,298.15,100,999.23,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0198,0.03,308.15,100,996.13,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0199,0.01,288.15,100,1000.67,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0199,0.01,298.15,100,998.57,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0199,0.01,308.15,100,995.5,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0204,0.05,288.15,100,1002.15,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0204,0.05,298.15,100,999.94,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0204,0.05,308.15,100,996.79,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.01,288.15,100,1001.28,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.01,298.15,100,999.16,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.01,308.15,100,996.08,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.05,288.15,100,1002.73,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.05,298.15,100,1000.5,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0297,0.05,308.15,100,997.34,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0298,0.03,288.15,100,1001.97,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0298,0.03,298.15,100,999.83,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0298,0.03,308.15,100,996.73,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0395,0.05,288.15,100,1003.34,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0395,0.05,298.15,100,1001.09,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0395,0.05,308.15,100,997.92,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0399,0.01,288.15,100,1001.9,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0399,0.01,298.15,100,999.77,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0399,0.01,308.15,100,996.67,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0402,0.03,288.15,100,1002.59,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0402,0.03,298.15,100,1000.45,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0402,0.03,308.15,100,997.34,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0592,0.03,288.15,100,1003.74,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0592,0.03,298.15,100,1001.59,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0592,0.03,308.15,100,998.47,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0594,0.01,288.15,100,1003.1,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0594,0.01,298.15,100,1000.93,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0594,0.01,308.15,100,997.8,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.06,0.05,288.15,100,1004.6,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.06,0.05,298.15,100,1002.33,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.06,0.05,308.15,100,999.14,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.08,0.05,288.15,100,1005.82,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.08,0.05,298.15,100,1003.53,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.08,0.05,308.15,100,1000.31,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0802,0.03,288.15,100,1004.99,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0802,0.03,298.15,100,1002.84,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0802,0.03,308.15,100,999.7,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0805,0.01,288.15,100,1004.38,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0805,0.01,298.15,100,1002.18,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0805,0.01,308.15,100,999,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
