setid,"Temperature, K","MolaLity of L-ascorbic acid, mol/kg","Solvent: MolaLity of tetrabutylammonium hydrogen sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GzKqj,308.15,0.0862,0.005,101,999.73,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.0862,0.01,101,999.84,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.0862,0.015,101,999.83,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.0862,0.02,101,999.91,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.0863,0,101,999.54,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.1031,0.01,101,1000.86,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.1031,0.015,101,1000.81,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.1031,0.02,101,1000.9,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.1032,0,101,1000.57,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,308.15,0.1032,0.005,101,1000.76,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0201,0.02,101,992.16,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0202,0,101,991.55,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0202,0.005,101,991.73,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0202,0.01,101,991.87,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0202,0.015,101,992.02,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0364,0.01,101,992.88,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0364,0.015,101,993,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0364,0.02,101,993.12,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0365,0,101,992.57,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0365,0.005,101,992.75,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0528,0.02,101,994.08,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0529,0,101,993.59,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0529,0.005,101,993.77,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0529,0.01,101,993.89,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0529,0.015,101,993.98,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0694,0.015,101,994.96,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0694,0.02,101,995.04,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0695,0,101,994.59,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0695,0.005,101,994.79,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0695,0.01,101,994.9,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0862,0.005,101,995.8,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
GzKqj,318.15,0.0862,0.01,101,995.9,Sarkar et al. (2016a),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
