setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VMUdk,293.15,0.4203,0.2165,100,1270,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.4304,0.5232,100,1230,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.4456,0.4021,100,1290,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.5108,0.3257,100,1307,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.5802,0.2258,100,1315,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.5952,0.3418,100,1325,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.672,0.1111,100,1340,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.6845,0.2407,100,1360,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.7895,0.1199,100,1389,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.8559,0.0495,100,1397,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0374,0.6095,100,1059,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0485,0.4975,100,1098,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0593,0.3848,100,1102,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0692,0.2821,100,1052,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0779,0.1906,100,1049,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.0877,0.0895,100,1085,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.1117,0.6723,100,1136,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.1378,0.817,100,1086,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.1912,0.4374,100,1171,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.2256,0.3425,100,1155,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.2697,0.4953,100,1203,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.2795,0.1819,100,1196,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.3202,0.5734,100,1190,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.4203,0.2165,100,1261,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.4304,0.5232,100,1218,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.4456,0.4021,100,1280,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.5108,0.3257,100,1298,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.5802,0.2258,100,1306,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.5952,0.3418,100,1315,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.672,0.1111,100,1331,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.6845,0.2407,100,1351,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.7895,0.1199,100,1378,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,303.15,0.8559,0.0495,100,1388,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0374,0.6095,100,1049,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0485,0.4975,100,1088,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0593,0.3848,100,1093,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0692,0.2821,100,1042,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0779,0.1906,100,1040,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.0877,0.0895,100,1076,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.1117,0.6723,100,1127,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.1378,0.817,100,1075,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.1912,0.4374,100,1161,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.2256,0.3425,100,1143,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.2697,0.4953,100,1188,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.2795,0.1819,100,1186,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.3202,0.5734,100,1180,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.4203,0.2165,100,1251,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.4304,0.5232,100,1205,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.4456,0.4021,100,1271,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.5108,0.3257,100,1289,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.5952,0.3418,100,1305,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.6845,0.2407,100,1342,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.7895,0.1199,100,1369,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,313.15,0.8559,0.0495,100,1379,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0374,0.6095,100,1039,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0485,0.4975,100,1077,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0593,0.3848,100,1084,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0692,0.2821,100,1033,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0779,0.1906,100,1030,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.0877,0.0895,100,1066,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.1117,0.6723,100,1117,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.1378,0.817,100,1065,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.1912,0.4374,100,1152,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.2256,0.3425,100,1133,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.2697,0.4953,100,1176,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.2795,0.1819,100,1176,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.3202,0.5734,100,1170,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.4203,0.2165,100,1242,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.4304,0.5232,100,1193,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.4456,0.4021,100,1262,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.5108,0.3257,100,1280,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.5952,0.3418,100,1295,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.6845,0.2407,100,1334,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
