setid,"Temperature, K","Mole fraction of 1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hBBYs,298.15,0.6031,100,1405,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.6973,100,1420,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.7994,100,1434,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.8711,100,1442,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,1,100,1454,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0,100,1119.7,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.0505,100,1174.3,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.1001,100,1216.5,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.1492,100,1250,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.1998,100,1279,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.3008,100,1323,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.4031,100,1356,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.5048,100,1381,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.6031,100,1400,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.6973,100,1415,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.7994,100,1429,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,0.8711,100,1437,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,303.15,1,100,1450,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0,100,1114.8,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.0505,100,1169.4,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.1001,100,1211.6,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.1492,100,1245,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.1998,100,1274,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.3008,100,1318,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.4031,100,1351,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.5048,100,1376,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.6031,100,1395,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.6973,100,1410,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.7994,100,1424,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,0.8711,100,1432,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,308.15,1,100,1445,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0,100,1109.9,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.0505,100,1164.5,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.1001,100,1206.7,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.1492,100,1240,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.1998,100,1269,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.3008,100,1313,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.4031,100,1346,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.5048,100,1371,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.6031,100,1390,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.6973,100,1406,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.7994,100,1419,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,0.8711,100,1428,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,313.15,1,100,1440,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0,100,1105,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.0505,100,1159.6,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.1001,100,1201.8,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.1492,100,1235.5,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.1998,100,1264,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.3008,100,1308,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.4031,100,1341,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.5048,100,1366,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.6031,100,1386,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.6973,100,1401,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.7994,100,1415,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,318.15,0.8711,100,1423,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
