setid,"Temperature, K",Mole fraction of ammonium ethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mgkdd,308.15,0.1701,101,1117.6,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,313.15,0,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,313.15,0.05,101,1095.6,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,313.15,0.0999,101,1104.2,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,313.15,0.1701,101,1114.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,318.15,0,101,1086.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,318.15,0.05,101,1092.5,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,318.15,0.0999,101,1101,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,318.15,0.1701,101,1111.2,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,323.15,0,101,1083.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,323.15,0.05,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,323.15,0.0999,101,1097.8,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,323.15,0.1701,101,1108,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
