setid,"Temperature, K","MolaLity of N-acetyl-p-aminophenol, mol/kg","Solvent: MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CxCkg,298.15,0.042,0.99,87.1,1018.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.043,0.295,87.1,1006,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.048,0.623,87.1,1012.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.049,0.295,87.1,1006.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.05,0.99,87.1,1018.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.054,0.295,87.1,1006.4,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.054,0.623,87.1,1012.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.058,0.99,87.1,1018.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.061,0.295,87.1,1006.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.063,0.623,87.1,1013.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.066,0.99,87.1,1019.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0,0.295,87.1,1002.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0,0.623,87.1,1008.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0,0.99,87.1,1014.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.027,0.99,87.1,1015.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.029,0.623,87.1,1010.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.03,0.295,87.1,1003.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.034,0.99,87.1,1016.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.035,0.295,87.1,1004.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.035,0.623,87.1,1010.4,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.041,0.623,87.1,1010.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.042,0.99,87.1,1016.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.043,0.295,87.1,1004.4,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.048,0.623,87.1,1010.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.049,0.295,87.1,1004.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.05,0.99,87.1,1016.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.054,0.295,87.1,1004.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.054,0.623,87.1,1011.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.058,0.99,87.1,1017.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.061,0.295,87.1,1005.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.063,0.623,87.1,1011.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,303.15,0.066,0.99,87.1,1017.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0,0.295,87.1,1001,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0,0.623,87.1,1007.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0,0.99,87.1,1012.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.027,0.99,87.1,1014,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.029,0.623,87.1,1008.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.03,0.295,87.1,1002.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.034,0.99,87.1,1014.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.035,0.295,87.1,1002,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.035,0.623,87.1,1008.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.041,0.623,87.1,1008.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.042,0.99,87.1,1014.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.043,0.295,87.1,1002.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.048,0.623,87.1,1009.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.049,0.295,87.1,1003,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.05,0.99,87.1,1015,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.054,0.295,87.1,1003.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.054,0.623,87.1,1009.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.058,0.99,87.1,1015.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.061,0.295,87.1,1003.4,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.063,0.623,87.1,1009.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,308.15,0.066,0.99,87.1,1015.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0,0.295,87.1,999.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0,0.623,87.1,1005.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0,0.99,87.1,1010.9,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.027,0.99,87.1,1012.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.029,0.623,87.1,1006.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.03,0.295,87.1,1000.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.034,0.99,87.1,1012.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.035,0.295,87.1,1000.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.035,0.623,87.1,1006.7,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.041,0.623,87.1,1007,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.042,0.99,87.1,1012.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.043,0.295,87.1,1000.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.048,0.623,87.1,1007.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.049,0.295,87.1,1001,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.05,0.99,87.1,1013,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.054,0.295,87.1,1001.2,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.054,0.623,87.1,1007.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.058,0.99,87.1,1013.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.061,0.295,87.1,1001.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.063,0.623,87.1,1007.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,313.15,0.066,0.99,87.1,1013.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
