setid,Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NzwTl,0.2176,101,298.15,1196,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.2176,101,298.15,1196,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.2695,101,298.15,1228.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.2695,101,298.15,1228.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.4991,101,298.15,1308.4,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.4991,101,298.15,1308.4,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.5488,101,298.15,1318.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.5488,101,298.15,1318.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.5851,101,298.15,1325.4,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.5851,101,298.15,1325.4,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,1,101,298.15,1371.8,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,1,101,298.15,1371.8,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,1,101,298.15,1371.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,1,101,298.15,1371.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
