setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rEFCs,303.15,0.1999,101,1040.4,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.3,101,1088.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.3998,101,1119.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.5002,101,1141.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.5997,101,1157.8,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.7005,101,1170.3,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.7998,101,1179.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.8913,101,1186.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.1,101,951.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.1999,101,1036.3,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.3,101,1084.9,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.3998,101,1116.4,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.5002,101,1138.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.5997,101,1155.2,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.7005,101,1168,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.7998,101,1177.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,308.15,0.8913,101,1184.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.1,101,948,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.1999,101,1032.8,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.3,101,1081.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.3998,101,1113.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.5002,101,1136,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.5997,101,1152.8,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.7005,101,1165.8,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.7998,101,1175.7,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,313.15,0.8913,101,1182.9,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
