setid,"Temperature, K","MolaLity of 1,1,3,3-tetramethylguanidinium cinnamate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dDGtR,308.15,0.04943,100,995.4,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.08032,100,996.2,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.10016,100,996.7,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.14956,100,997.9,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.20015,100,999.2,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.01038,100,992.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.02029,100,992.7,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.04943,100,993.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.08032,100,994.3,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.10016,100,994.8,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.14956,100,996,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,313.15,0.20015,100,997.2,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.01038,100,990.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.02029,100,990.7,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.04943,100,991.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.08032,100,992.2,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.10016,100,992.7,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.14956,100,993.9,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,318.15,0.20015,100,995.1,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
