setid,"Temperature, K","Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-amino-2-phenylacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gknCo,288.15,0.005,0.03968,100,1001.14,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.04981,100,1001.62,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.06022,100,1002.1,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.06984,100,1002.56,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.0802,100,1003.04,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.08966,100,1003.49,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0,100,999.78,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.01124,100,1000.3,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.02078,100,1000.75,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.03124,100,1001.23,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.03947,100,1001.62,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.05132,100,1002.17,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.05987,100,1002.56,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.07081,100,1003.07,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.07945,100,1003.47,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.02,0.08975,100,1003.95,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0,100,1000.45,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.01032,100,1000.92,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.01978,100,1001.36,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.02974,100,1001.82,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.03987,100,1002.28,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.04983,100,1002.74,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.06127,100,1003.3,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.06942,100,1003.64,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.08112,100,1004.18,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.04,0.09124,100,1004.64,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0,100,1001.12,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.01164,100,1001.65,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.02196,100,1002.12,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.03075,100,1002.52,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.04024,100,1002.96,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.04957,100,1003.38,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.05987,100,1003.85,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.07045,100,1004.34,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.07942,100,1004.75,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.06,0.08975,100,1005.22,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0,100,997.05,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.01124,100,997.551,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.02165,100,998.016,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.03065,100,998.417,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.03985,100,998.827,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.05178,100,999.359,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.06132,100,999.785,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.07089,100,1000.21,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.07984,100,1000.61,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0,0.09123,100,1001.12,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0,100,997.189,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.01002,100,997.635,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.02046,100,998.099,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.02959,100,998.506,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.03968,100,998.955,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.04981,100,999.405,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.06022,100,999.869,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.06984,100,1000.3,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.0802,100,1000.76,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.005,0.08966,100,1001.18,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0,100,997.616,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.01124,100,998.114,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.02078,100,998.537,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.03124,100,999,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.03947,100,999.365,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.05132,100,999.889,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.05987,100,1000.27,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.07081,100,1000.75,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.07945,100,1001.14,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.02,0.08975,100,1001.59,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0,100,998.186,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.01032,100,998.64,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.01978,100,999.056,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
