setid,Mole fraction of tetraethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yuWWr,0.1,303.15,101,1178,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,308.15,101,1175,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,313.15,101,1172.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,318.15,101,1169.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,323.15,101,1166.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,328.15,101,1163.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,333.15,101,1160.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,338.15,101,1157.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,343.15,101,1155,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,348.15,101,1152.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,353.15,101,1149.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,293.15,101,1171.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,298.15,101,1168.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,303.15,101,1165.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,308.15,101,1162.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,313.15,101,1160,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,318.15,101,1157.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,323.15,101,1154.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,328.15,101,1151.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,333.15,101,1148.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,338.15,101,1146,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,343.15,101,1143.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,348.15,101,1140.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.15,353.15,101,1137.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,293.15,101,1160.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,298.15,101,1157.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,303.15,101,1154.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,308.15,101,1151.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,313.15,101,1149,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,318.15,101,1146.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,323.15,101,1143.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,328.15,101,1140.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,333.15,101,1137.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,338.15,101,1135.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,343.15,101,1132.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,348.15,101,1129.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2001,353.15,101,1127.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,293.15,101,1150.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,298.15,101,1147.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,303.15,101,1144.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,308.15,101,1141.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,313.15,101,1138.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,318.15,101,1135.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,323.15,101,1133.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,328.15,101,1130.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,333.15,101,1127.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,338.15,101,1125,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,343.15,101,1122.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,348.15,101,1119.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2567,353.15,101,1117,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,293.15,101,1142.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,298.15,101,1139.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,303.15,101,1137,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,308.15,101,1134.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,313.15,101,1131.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,318.15,101,1128.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,323.15,101,1125.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,328.15,101,1123.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,333.15,101,1120.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,338.15,101,1117.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,343.15,101,1115.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,348.15,101,1112.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.2995,353.15,101,1109.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,293.15,101,1135.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,298.15,101,1133.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,303.15,101,1130.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,308.15,101,1127.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,313.15,101,1124.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,318.15,101,1121.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,323.15,101,1119.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,328.15,101,1116.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,333.15,101,1113.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.35,338.15,101,1111,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
