setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bqVdS,298.2,0.8532,0.0004,100,1081.9,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0,0.656,100,2020.5,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.0336,0.607,100,1883.5,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.0774,0.547,100,1750,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.1343,0.475,100,1597,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.216,0.368,100,1417,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.31,0.274,100,1287,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.4316,0.157,100,1183,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.563,0.058,100,1112,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.6686,0.021,100,1096,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.7631,0.0066,100,1104.5,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,308.2,0.8523,0.0014,100,1117.6,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
