setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZRKTx,303.15,0.3569,100,1001.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.431,100,1001.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.5238,100,1000.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.6162,100,1000.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.7143,100,999.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.7708,100,999.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.0718,100,1000.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.1358,100,1000.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.1942,100,999.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.2886,100,999.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.3569,100,998.8,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.431,100,998.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.5238,100,997.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.6162,100,997,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.7143,100,996.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,308.15,0.7708,100,996.3,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.0718,100,997.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.1358,100,997.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.1942,100,996.8,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.2886,100,996.3,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.3569,100,995.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.431,100,995,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.5238,100,994.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.6162,100,993.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.7143,100,993.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,313.15,0.7708,100,992.9,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,318.15,0.0718,100,994.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
