setid,"Temperature, K","Solvent: MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","MolaLity of L-threonine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zVmWd,308.15,0.01,0.2995,101,1006.8,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.01,0.4983,101,1014.5,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.01,0.6987,101,1022,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.01,0.8971,101,1029.1,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0,101,995.5,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0.0994,101,999.5,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0.2914,101,1007.2,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0.4987,101,1015.2,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0.6973,101,1022.7,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
zVmWd,308.15,0.03,0.7989,101,1026.4,Gaba et al. (2017d),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
