setid,Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KZjuV,0.7118,303.15,101,1047.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,308.15,101,1044.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,313.15,101,1041,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,318.15,101,1037.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,323.15,101,1034.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,293.15,101,1060.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,298.15,101,1057.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,303.15,101,1054.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,308.15,101,1051.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,313.15,101,1048.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,318.15,101,1045.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.8057,323.15,101,1042.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,293.15,101,1067.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,298.15,101,1064.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,303.15,101,1061.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,308.15,101,1058.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,313.15,101,1055.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,318.15,101,1052.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.9049,323.15,101,1049.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,293.15,101,1072.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,298.15,101,1069.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,303.15,101,1066.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,308.15,101,1063.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,313.15,101,1060.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,318.15,101,1057.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,1,323.15,101,1055,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
