setid,"Temperature, K",Mole fraction of 1-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XzMay,298.15,0.1008,101,843.04,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.1979,101,876.62,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.2995,101,909.53,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.4002,101,939.37,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.4999,101,966.57,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.6505,101,1003.78,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.7977,101,1036.22,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.9013,101,1056.91,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.0506,101,820.7,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.1008,101,838.93,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.1979,101,872.36,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.2995,101,905.18,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.4002,101,934.99,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.4999,101,962.15,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.6505,101,999.34,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.7977,101,1031.77,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,303.15,0.9013,101,1052.46,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.0506,101,816.68,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.1008,101,834.78,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.1979,101,868.1,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.2995,101,900.8,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.4002,101,930.59,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.4999,101,957.72,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.6505,101,994.88,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.7977,101,1027.33,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,308.15,0.9013,101,1048.01,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.0506,101,812.62,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.1008,101,830.61,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.1979,101,863.78,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.2995,101,896.49,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.4002,101,926.17,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.4999,101,953.27,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.6505,101,990.41,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.7977,101,1022.9,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,313.15,0.9013,101,1043.57,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
