setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GNdZw,0.01,298.15,0.2473,100,1005.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0.3011,100,1007.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0,100,994.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.0521,100,996.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.1018,100,997.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.1509,100,999.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.1992,100,1000.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.2473,100,1002.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,308.15,0.3011,100,1004.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0,100,990.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.0521,100,992.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.1018,100,993.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.1509,100,995.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.1992,100,996.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.2473,100,998.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,318.15,0.3011,100,1000,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.0513,100,1002.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.099,100,1003.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.1486,100,1005.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.1979,100,1007.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.2494,100,1008.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,288.15,0.2973,100,1010.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0,100,998.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.0513,100,1000.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.099,100,1001.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.1486,100,1003.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.1979,100,1004.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.2494,100,1006.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,298.15,0.2973,100,1007.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0,100,995.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.0513,100,997.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.099,100,998.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.1486,100,1000.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.1979,100,1001.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.2494,100,1003.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,308.15,0.2973,100,1004.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0,100,991.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.0513,100,993.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.099,100,994.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.1486,100,996.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.1979,100,997.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.2494,100,999.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.03,318.15,0.2973,100,1000.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0,100,1001.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.0514,100,1003.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.0988,100,1004.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.1498,100,1006.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.1993,100,1008.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.2462,100,1009.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,288.15,0.2957,100,1011,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0,100,999.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.0514,100,1001,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.0988,100,1002.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.1498,100,1004,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.1993,100,1005.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.2462,100,1007,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,298.15,0.2957,100,1008.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0,100,996.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.0514,100,998,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.0988,100,999.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.1498,100,1000.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.1993,100,1002.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.2462,100,1003.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,308.15,0.2957,100,1005.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0,100,992.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.0514,100,993.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.0988,100,995.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.1498,100,996.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.1993,100,998.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.2462,100,999.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.05,318.15,0.2957,100,1001.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
