setid,Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LSakP,0.6957,293.15,100.7,1201.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,298.15,100.7,1197.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,303.15,100.7,1193,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,308.15,100.7,1189.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,313.15,100.7,1185.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,318.15,100.7,1181,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.6957,323.15,100.7,1176.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,293.15,100.7,1212.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,298.15,100.7,1208.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,303.15,100.7,1204.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,308.15,100.7,1200.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,313.15,100.7,1196.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,318.15,100.7,1192.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.7754,323.15,100.7,1188.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,293.15,100.7,1227.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,298.15,100.7,1223.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,303.15,100.7,1219.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,308.15,100.7,1216.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,313.15,100.7,1212.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,318.15,100.7,1208.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.8991,323.15,100.7,1204.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,293.15,100.7,1238.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,298.15,100.7,1234.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,303.15,100.7,1230.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,308.15,100.7,1227.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,313.15,100.7,1223.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,318.15,100.7,1219.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,1,323.15,100.7,1215.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
