setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
duNJq,303.15,0.3985,101,1020.6,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.5105,101,1038.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.6035,101,1049.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.7011,101,1058.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.8152,101,1066.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.9139,101,1072.2,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.0986,101,896.6,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.2015,101,959.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.2837,101,989.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.3985,101,1016.8,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.5105,101,1034.8,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.6035,101,1046.1,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.7011,101,1055.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.8152,101,1063.8,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,308.15,0.9139,101,1069.7,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.0986,101,892.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.2015,101,955.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.2837,101,985.4,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.3985,101,1012.9,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.5105,101,1031.1,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.6035,101,1042.4,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.7011,101,1051.8,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.8152,101,1060.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,313.15,0.9139,101,1066.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
