setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xXHgV,303.15,0,100,995.65,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.001,100,995.667,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.00502,100,995.734,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.01005,100,995.809,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.02013,100,995.944,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.04041,100,996.213,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.06084,100,996.467,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.08141,100,996.714,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.10214,100,996.956,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,303.15,0.12302,100,997.191,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0,100,994.03,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.001,100,994.047,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.00502,100,994.11,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.01005,100,994.18,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.02013,100,994.313,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.04041,100,994.571,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.06084,100,994.81,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.08141,100,995.047,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.10214,100,995.282,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,308.15,0.12302,100,995.51,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
xXHgV,313.15,0,100,992.21,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
