setid,"Temperature, K","Mole fraction of N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CETco,288.15,0.9202,101,1192,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.9692,101,1194.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.0108,101,837.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.0992,101,1016.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.2597,101,1113,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.4049,101,1146.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.5075,101,1160.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.5953,101,1168.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.7121,101,1177.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.8336,101,1184.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.9202,101,1188,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,293.15,0.9692,101,1190.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.0108,101,832.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.0992,101,1012.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.2597,101,1108.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.4049,101,1142.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.5075,101,1156.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.5953,101,1164.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.7121,101,1176.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.8336,101,1180.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.9202,101,1184,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,298.15,0.9692,101,1186.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.0108,101,827.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.0992,101,1007.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.2597,101,1104.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.4049,101,1138,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.5075,101,1152.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.5953,101,1160.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.7121,101,1169.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.8336,101,1176.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.9202,101,1180,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,303.15,0.9692,101,1182.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.0108,101,823.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.0992,101,1003.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.2597,101,1100.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.4049,101,1133.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.5075,101,1148.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.5953,101,1156.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.7121,101,1165.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.8336,101,1172.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.9202,101,1176.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,308.15,0.9692,101,1178.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.0108,101,818.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.0992,101,998.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.2597,101,1095.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.4049,101,1129.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.5075,101,1144,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.5953,101,1152.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.7121,101,1161.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.8336,101,1168.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.9202,101,1172.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,313.15,0.9692,101,1174.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.0108,101,813.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.0992,101,993.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.2597,101,1091.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.4049,101,1125.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.5075,101,1139.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.5953,101,1148.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.7121,101,1157.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.8336,101,1164.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.9202,101,1168.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,318.15,0.9692,101,1170.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.0108,101,808.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
