setid,"Temperature, K",Mole fraction of triethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NkHdq,298.15,0.9064,101,1018.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.9466,101,1017.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,1,101,1015.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0,101,1092.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.0236,101,1087.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.0351,101,1085.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.0607,101,1081.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.0879,101,1076.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.1152,101,1072.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.161,101,1065.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.2116,101,1058.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.2699,101,1051.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.3553,101,1042.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.4353,101,1035.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.4831,101,1032.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.5464,101,1028.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.6163,101,1024.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.6796,101,1021.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.7164,101,1019.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.7846,101,1016.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.8163,101,1015.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.8504,101,1014.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.9064,101,1012.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,0.9466,101,1011.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,303.15,1,101,1009.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0,101,1086.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.0236,101,1081.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.0351,101,1079.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.0607,101,1074.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.0879,101,1070.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.1152,101,1065.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.161,101,1059.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.2116,101,1052.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.2699,101,1045.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.3553,101,1036.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.4353,101,1029.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.4831,101,1025.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.5464,101,1021.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.6163,101,1017.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.6796,101,1014.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.7164,101,1013,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.7846,101,1010.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.8163,101,1009.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.8504,101,1007.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.9064,101,1005.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,0.9466,101,1004.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,308.15,1,101,1002.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
