setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xaGPv,0.0751,0.1493,85.9,298.15,1103.87,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.1708,85.9,298.15,1104.55,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.189,85.9,298.15,1105.11,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.2089,85.9,298.15,1105.73,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0,85.9,298.15,1099.68,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.0111,85.9,298.15,1100.05,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.0294,85.9,298.15,1100.66,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.0487,85.9,298.15,1101.29,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.0702,85.9,298.15,1102,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.0899,85.9,298.15,1102.64,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
