setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OnuRx,298.15,0.098,101.3,1000.4,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.1272,101.3,1001.37,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.1624,101.3,1002.53,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.2031,101.3,1003.86,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.2497,101.3,1005.36,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.3157,101.3,1007.47,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0,101.3,995.65,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.02,101.3,996.326,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.0307,101.3,996.688,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.0391,101.3,996.968,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.0493,101.3,997.307,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.0711,101.3,998.03,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.098,101.3,998.917,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.1272,101.3,999.869,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.1624,101.3,1001,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.2031,101.3,1002.29,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.2497,101.3,1003.75,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,303.15,0.3157,101.3,1005.81,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0,101.3,994.036,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.02,101.3,994.698,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.0307,101.3,995.05,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.0391,101.3,995.326,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.0493,101.3,995.657,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.0711,101.3,996.366,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.098,101.3,997.231,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.1272,101.3,998.162,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.1624,101.3,999.258,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.2031,101.3,1000.51,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.2497,101.3,1001.95,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,308.15,0.3157,101.3,1003.95,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0,101.3,992.225,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.02,101.3,992.872,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.0307,101.3,993.219,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.0391,101.3,993.488,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.0493,101.3,993.812,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.0711,101.3,994.505,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.098,101.3,995.35,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.1272,101.3,996.26,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.1624,101.3,997.335,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.2031,101.3,998.561,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.2497,101.3,999.967,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,313.15,0.3157,101.3,1001.91,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
