setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YDZaW,308.15,0.065,101,997.183,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.0795,101,997.862,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.0971,101,998.671,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.1182,101,999.629,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.1493,101,1001,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0,101,992.212,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.0355,101,993.954,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.0493,101,994.614,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.065,101,995.357,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.0795,101,996.034,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.0971,101,996.842,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.1182,101,997.797,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,313.15,0.1493,101,999.169,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
