setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hlMdd,293.15,0.13828,101,1001.23,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0,101,997.043,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.01879,101,997.496,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.02836,101,997.716,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.04784,101,998.157,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.05741,101,998.379,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.06268,101,998.511,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.0767,101,998.788,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.08783,101,998.987,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.09727,101,999.17,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.12065,101,999.597,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,298.15,0.13828,101,999.91,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0,101,995.647,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.01879,101,996.082,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.02836,101,996.312,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.04784,101,996.748,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.05741,101,996.949,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.06268,101,997.055,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.0767,101,997.334,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.08783,101,997.534,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.09727,101,997.707,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.12065,101,998.105,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
hlMdd,303.15,0.13828,101,998.375,Patil et al. (2016),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
