setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hUsEZ,298.15,0.144,101,788.355,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.1769,101,790.914,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.209,101,793.36,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.2633,101,797.466,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.3175,101,801.535,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0,101,771.2,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0104,101,772.099,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0154,101,772.521,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0207,101,772.973,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0252,101,773.351,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0304,101,773.785,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0408,101,774.657,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0611,101,776.339,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.0825,101,778.086,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.1032,101,779.75,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.144,101,783.009,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.1769,101,785.585,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.209,101,788.041,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.2633,101,792.169,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,303.15,0.3175,101,796.259,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0,101,765.742,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0104,101,766.649,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0154,101,767.075,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0207,101,767.531,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0252,101,767.912,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0304,101,768.35,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0408,101,769.228,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0611,101,770.92,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.0825,101,772.679,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.1032,101,774.35,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.144,101,777.626,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.1769,101,780.216,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.209,101,782.688,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.2633,101,786.837,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,308.15,0.3175,101,790.949,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0,101,754.725,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0104,101,755.647,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0154,101,756.08,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0207,101,756.543,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0252,101,756.93,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0304,101,757.373,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0408,101,758.264,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0611,101,759.982,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.0825,101,761.76,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.1032,101,763.452,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.144,101,766.769,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.1769,101,769.39,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.209,101,771.892,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.2633,101,776.088,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,318.15,0.3175,101,780.245,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0,101,743.552,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0104,101,744.489,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0154,101,744.929,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0207,101,745.399,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0252,101,745.792,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0304,101,746.242,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0408,101,747.148,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0611,101,748.888,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.0825,101,750.693,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.1032,101,752.408,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.144,101,755.77,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.1769,101,758.424,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.209,101,760.957,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.2633,101,765.204,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,328.15,0.3175,101,769.412,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
