setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Solvent: MolaLity of L-histidine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jzVDe,298.15,0.006,0.01,101,997.797,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.006,0.05,101,1000.07,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.006,0.1,101,1002.93,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.009,0.01,101,997.858,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.009,0.05,101,1000.13,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.009,0.1,101,1002.98,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.012,0.01,101,997.915,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.012,0.05,101,1000.18,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.012,0.1,101,1003.03,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.015,0.01,101,997.973,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.015,0.05,101,1000.23,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.015,0.1,101,1003.08,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.018,0.01,101,998.03,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.018,0.05,101,1000.28,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.018,0.1,101,1003.12,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.021,0.01,101,998.066,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.021,0.05,101,1000.34,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.021,0.1,101,1003.16,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.024,0.01,101,998.115,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.024,0.05,101,1000.38,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.024,0.1,101,1003.19,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.027,0.01,101,998.165,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.027,0.05,101,1000.42,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.027,0.1,101,1003.22,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.03,0.01,101,998.202,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.03,0.05,101,1000.46,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,298.15,0.03,0.1,101,1003.28,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0,0.01,101,996.259,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0,0.05,101,998.435,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0,0.1,101,1001.32,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.003,0.01,101,996.331,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.003,0.05,101,998.517,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.003,0.1,101,1001.4,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.006,0.01,101,996.38,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.006,0.05,101,998.629,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.006,0.1,101,1001.46,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.009,0.01,101,996.436,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.009,0.05,101,998.693,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.009,0.1,101,1001.51,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.012,0.01,101,996.485,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.012,0.05,101,998.736,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.012,0.1,101,1001.55,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.015,0.01,101,996.543,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.015,0.05,101,998.78,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.015,0.1,101,1001.6,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.018,0.01,101,996.598,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.018,0.05,101,998.829,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.018,0.1,101,1001.62,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.021,0.01,101,996.632,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.021,0.05,101,998.874,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.021,0.1,101,1001.66,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.024,0.01,101,996.678,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.024,0.05,101,998.926,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
