setid,"Temperature, K","MolaLity of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
twREE,293.15,0.0132,101,998.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0212,101,998.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0366,101,999.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0511,101,999.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0603,101,1000.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0783,101,1000.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.0944,101,1001.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.1035,101,1001.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.1113,101,1001.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,293.15,0.1218,101,1002,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0132,101,997.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0212,101,997.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0366,101,998.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0511,101,998.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0603,101,999,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0783,101,999.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.0944,101,1000,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.1035,101,1000.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.1113,101,1000.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,298.15,0.1218,101,1000.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0132,101,996.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0212,101,996.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0366,101,996.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0511,101,997.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0603,101,997.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0783,101,998.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.0944,101,998.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.1035,101,998.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.1113,101,999.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,303.15,0.1218,101,999.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0132,101,994.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0212,101,994.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0366,101,995.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0511,101,995.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0603,101,996,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0783,101,996.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.0944,101,997,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.1035,101,997.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.1113,101,997.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,308.15,0.1218,101,997.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0132,101,992.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0212,101,992.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0366,101,993.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0511,101,993.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0603,101,994.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0783,101,994.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.0944,101,995.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.1035,101,995.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.1113,101,995.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,313.15,0.1218,101,996,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0132,101,990.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0212,101,990.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0366,101,991.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0511,101,991.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0603,101,992.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0783,101,992.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.0944,101,993.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.1035,101,993.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.1113,101,993.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,318.15,0.1218,101,994,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
