setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Clulj,298.15,0.026,0.06,101,1043.02,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0347,0,101,998.01,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0347,0.06,101,1043.29,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0348,0.03,101,1020.26,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0433,0,101,998.22,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0434,0.03,101,1020.43,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0434,0.06,101,1043.51,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.052,0.03,101,1020.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0521,0,101,998.46,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0521,0.06,101,1043.73,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0556,0.4395,101,1445.4,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0607,0,101,998.65,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0607,0.03,101,1020.71,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0607,0.06,101,1043.95,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0694,0,101,998.84,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0694,0.06,101,1044.13,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0696,0.03,101,1020.83,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.078,0,101,998.98,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0781,0.03,101,1020.92,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0781,0.06,101,1044.3,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0867,0,101,999.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0867,0.06,101,1044.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0868,0.03,101,1021,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.1262,0.3811,101,1376.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.2049,0.3195,101,1305.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.3022,0.2467,101,1236.19,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.412,0.1697,101,1167.81,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.5387,0.0949,101,1101.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.6653,0.0415,101,1043.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.7756,0.0082,101,1016.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.0512,0.4556,101,1454.76,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.1149,0.4044,101,1394.71,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.1959,0.3326,101,1318.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.2943,0.2598,101,1247.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.421,0.1792,101,1173.56,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.5527,0.1007,101,1100.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.6537,0.0498,101,1039.4,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,308.15,0.7607,0.0108,101,1011.3,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
