setid,Mole fraction of triethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
crpJH,0.0499,333.15,101,1176.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,338.15,101,1173.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,343.15,101,1171,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,348.15,101,1168.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,353.15,101,1165.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,293.15,101,1188.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,298.15,101,1185,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,303.15,101,1182,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,308.15,101,1178.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,313.15,101,1176,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,318.15,101,1173,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,323.15,101,1170.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,328.15,101,1167.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,333.15,101,1164.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,338.15,101,1161.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,343.15,101,1158.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,348.15,101,1155.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0999,353.15,101,1152.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,293.15,101,1175.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,298.15,101,1172.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,303.15,101,1169.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,308.15,101,1166.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,313.15,101,1163.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,318.15,101,1160.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,323.15,101,1157.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,328.15,101,1154.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,333.15,101,1151.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,338.15,101,1148.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,343.15,101,1146,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,348.15,101,1143.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.149,353.15,101,1140.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,293.15,101,1168,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,298.15,101,1165,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,303.15,101,1161.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,308.15,101,1158.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,313.15,101,1156,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,318.15,101,1153,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,323.15,101,1150.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,328.15,101,1147.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,333.15,101,1144.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.1997,338.15,101,1141.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,293.15,101,1158.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,298.15,101,1155.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,303.15,101,1152.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,308.15,101,1149.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,313.15,101,1146.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,318.15,101,1143.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,323.15,101,1140.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,328.15,101,1137.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.25,333.15,101,1134.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,293.15,101,1145.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,298.15,101,1142.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,303.15,101,1139.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,308.15,101,1136.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,313.15,101,1133.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,318.15,101,1130.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,323.15,101,1127.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,328.15,101,1124.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.2993,333.15,101,1121.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,293.15,101,1142.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,298.15,101,1139.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,303.15,101,1136.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,308.15,101,1133.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,313.15,101,1130.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,318.15,101,1127.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,323.15,101,1124.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,328.15,101,1122,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3475,333.15,101,1119.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,293.15,101,1135.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,298.15,101,1132.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,303.15,101,1129.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,308.15,101,1126.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,313.15,101,1123.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,318.15,101,1120.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,323.15,101,1117.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,328.15,101,1114.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.3995,333.15,101,1111.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,293.15,101,1128.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,298.15,101,1125.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,303.15,101,1122.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,308.15,101,1119.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,313.15,101,1116.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,318.15,101,1113.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,323.15,101,1110.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.4472,328.15,101,1107.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
