setid,"Mole fraction of 1-butyl-2,3-dimethylimidazolium azide","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Lrxbq,0.25,343.15,101,1136.3,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,353.15,101,1130,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,363.15,101,1123.8,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,373.15,101,1117.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,313.15,101,1129.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,323.15,101,1123.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,333.15,101,1117.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,343.15,101,1111.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,353.15,101,1105.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,363.15,101,1099.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.5,373.15,101,1093.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,313.15,101,1098.7,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,323.15,101,1092.3,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,333.15,101,1086,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,343.15,101,1079.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,353.15,101,1073.2,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,363.15,101,1066.9,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.75,373.15,101,1060.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,313.15,101,1070.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,323.15,101,1065.1,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,333.15,101,1059.8,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,343.15,101,1054.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,353.15,101,1049.2,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,363.15,101,1043.9,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,1,373.15,101,1038.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
