setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vxMGe,308.15,0.3366,101,1016.71,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.4748,101,1018.41,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.6445,101,1019.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.7797,101,1019.39,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.9147,101,1019.41,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,1,101,1019.45,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0,101,990.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.0343,101,993.34,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.1377,101,1003.14,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.217,101,1007.39,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.3366,101,1010.79,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.4748,101,1012.74,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.6445,101,1013.76,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.7797,101,1014.04,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,0.9147,101,1014.15,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,318.15,1,101,1014.21,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0,101,985.69,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.0343,101,987.83,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.1377,101,996.84,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.217,101,1001.18,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.3366,101,1004.86,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.4748,101,1007.1,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.6445,101,1008.33,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.7797,101,1008.75,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,0.9147,101,1008.93,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,328.15,1,101,1009.01,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0,101,980.3,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.0343,101,982.55,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.1377,101,991.36,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.217,101,995.11,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.3366,101,998.91,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.4748,101,1001.47,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.6445,101,1002.93,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.7797,101,1003.46,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,0.9147,101,1003.72,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,338.15,1,101,1003.85,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0,101,974.75,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.0343,101,976.77,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.1377,101,984.79,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.217,101,988.82,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.3366,101,992.96,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.4748,101,995.83,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.6445,101,997.54,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.7797,101,998.19,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,0.9147,101,998.52,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,348.15,1,101,998.73,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
