setid,"Temperature, K","Weight fraction of 1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sqbeG,298.15,0.8993,101,1422.9,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.9392,101,1443.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.9799,101,1465.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,1,101,1486.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.3201,101,1113.9,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.3601,101,1134.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.3998,101,1155,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.4398,101,1175.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.4813,101,1197.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.5201,101,1217.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.5615,101,1238.4,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.5987,101,1257.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.6197,101,1268.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.6607,101,1289.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.6998,101,1309.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.7612,101,1341.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.78,101,1351.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8012,101,1362.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8189,101,1371.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8394,101,1381.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8656,101,1395.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8806,101,1403.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.8993,101,1412.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.9392,101,1433.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,0.9799,101,1454.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,308.15,1,101,1476.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.3201,101,1107.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.3601,101,1127.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.3998,101,1147.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.4398,101,1168.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.4813,101,1189.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.5201,101,1209,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.5615,101,1230.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.5987,101,1249,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.6197,101,1259.7,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.6607,101,1280.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.6998,101,1300.4,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.7612,101,1331.7,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.78,101,1341.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8012,101,1352.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8189,101,1361,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8394,101,1371.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8656,101,1384.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8806,101,1392.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.8993,101,1402,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.9392,101,1422.3,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,0.9799,101,1442.9,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,318.15,1,101,1465.9,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
