setid,Mole fraction of benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DsWkr,0.594,333.15,101,1137.25,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,338.15,101,1133.39,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,343.15,101,1129.38,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,348.15,101,1125.35,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,293.15,101,1191.18,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,298.15,101,1187.21,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,303.15,101,1183.24,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,308.15,101,1179.28,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,313.15,101,1175.32,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,318.15,101,1171.36,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
