setid,"Temperature, K",Mole fraction of 1-ethylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kvnyW,308.15,0.1993,100,897.09,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.2994,100,941.5,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.4002,100,978.4,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.501,100,1009.3,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.5977,100,1034.3,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.7003,100,1057.6,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.8001,100,1076.7,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.8945,100,1094,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,1,100,1112.2,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0,100,768.02,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
