setid,"Temperature, K","MolaLity of 1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MrroB,298.15,0.0777,101,1006.38,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.08857,101,1007.62,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.09671,101,1008.51,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0,101,995.645,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.03341,101,999.742,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.04614,101,1001.27,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.05646,101,1002.47,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.06717,101,1003.73,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.0777,101,1004.93,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.08857,101,1006.16,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,303.15,0.09671,101,1007.05,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0,101,994.029,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.03341,101,998.108,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.04614,101,999.627,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.05646,101,1000.83,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.06717,101,1002.07,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.0777,101,1003.27,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.08857,101,1004.5,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,308.15,0.09671,101,1005.38,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0,101,992.212,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.03341,101,996.275,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.04614,101,997.783,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.05646,101,998.981,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.06717,101,1000.22,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.0777,101,1001.41,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.08857,101,1002.64,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,313.15,0.09671,101,1003.53,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
