setid,Weight fraction of 1-butyl-3-methylimidazolium thiocyanate,Weight fraction of potassium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KdUwF,0.028,0.3107,313.15,101,1166,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,318.15,101,1163,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,323.15,101,1160,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,328.15,101,1157,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,298.15,101,1070.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,303.15,101,1067.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,308.15,101,1064,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,313.15,101,1060.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,318.15,101,1057.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,323.15,101,1054,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.648,0.0246,328.15,101,1050.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,298.15,101,1070.6,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,303.15,101,1067.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,308.15,101,1064,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,313.15,101,1060.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,318.15,101,1057.4,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,323.15,101,1054.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.813,0.0006,328.15,101,1050.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
