setid,"Temperature, K","MolaLity of 1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wpzpl,298.15,0.04222,101,0.06,1004.4,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.05303,101,0.06,1005.74,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.06359,101,0.06,1007.03,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.07377,101,0.06,1008.26,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.0858,101,0.06,1009.71,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.09593,101,0.06,1010.91,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0,101,0.06,997.613,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.0197,101,0.06,1000.14,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.03168,101,0.06,1001.66,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.04222,101,0.06,1002.97,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.05303,101,0.06,1004.31,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.06359,101,0.06,1005.6,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.07377,101,0.06,1006.83,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.0858,101,0.06,1008.27,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,303.15,0.09593,101,0.06,1009.46,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0,101,0.06,995.985,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.0197,101,0.06,998.508,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.03168,101,0.06,1000.02,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.04222,101,0.06,1001.33,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.05303,101,0.06,1002.67,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.06359,101,0.06,1003.95,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.07377,101,0.06,1005.18,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.0858,101,0.06,1006.62,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,308.15,0.09593,101,0.06,1007.81,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0,101,0.06,994.125,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.0197,101,0.06,996.641,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.03168,101,0.06,998.144,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.04222,101,0.06,999.456,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.05303,101,0.06,1000.78,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.06359,101,0.06,1002.07,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.07377,101,0.06,1003.3,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.0858,101,0.06,1004.74,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,313.15,0.09593,101,0.06,1005.92,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
