setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lVUGv,0.2942,0.637,298.15,101,1064,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.3024,0.485,298.15,101,1096,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.3109,0.107,298.15,101,1166,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.3638,0.3807,298.15,101,1125,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.4175,0.2891,298.15,101,1147,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.4439,0.4523,298.15,101,1125,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.502,0.1454,298.15,101,1175,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.5383,0.3359,298.15,101,1151,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.6637,0.1808,298.15,101,1178,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.6796,0.2898,298.15,101,1166,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.7482,0.0757,298.15,101,1194,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.7787,0.1862,298.15,101,1182,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.8775,0.0829,298.15,101,1197,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
