setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oZSAD,298.15,0.262,0.3446,101,1451.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.3815,0.2475,101,1323.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.5249,0.1361,101,1205.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.6717,0.0434,101,1121,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,298.15,0.799,0.0078,101,1088,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.0382,0.606,101,1837.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.0929,0.5386,101,1717.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.1644,0.4583,101,1597.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.2573,0.3612,101,1466.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.3769,0.2581,101,1338.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.5182,0.1494,101,1216.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.6711,0.0527,101,1123.23,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
oZSAD,308.15,0.7994,0.0081,101,1069,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
