setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wQSmF,313.15,0.438,0.397,101,1082.3,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.447,0.27,101,1058.4,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.457,0.138,101,1037.1,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.216,0.522,101,1084.1,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.221,0.401,101,1061.7,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.226,0.273,101,1037.9,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.231,0.139,101,1020.3,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.438,0.397,101,1068.9,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.447,0.27,101,1046.6,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,333.15,0.457,0.138,101,1025.4,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.216,0.522,101,1061,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.221,0.401,101,1041,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.226,0.273,101,1024.3,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.231,0.139,101,1001.8,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.438,0.397,101,1054.8,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.447,0.27,101,1033.6,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,353.15,0.457,0.138,101,1011.8,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.216,0.522,101,1058,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.221,0.401,101,1029.2,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.226,0.273,101,1016.1,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.231,0.139,101,997.5,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.438,0.397,101,1036.7,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.447,0.27,101,1024.4,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,363.15,0.457,0.138,101,1004,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
