setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gXVKm,0.1802,101,298,0.05,-0.916,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.1843,101,298,0.05,-0.905,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.1994,101,298,0.05,-0.903,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2099,101,298,0.05,-0.917,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2184,101,298,0.05,-0.919,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.23,101,298,0.05,-0.914,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2389,101,298,0.05,-0.904,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2437,101,298,0.05,-0.888,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2465,101,298,0.05,-0.903,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2548,101,298,0.05,-0.868,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2575,101,298,0.05,-0.874,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.2738,101,298,0.05,-0.854,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.3007,101,298,0.05,-0.796,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.3465,101,298,0.05,-0.688,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.3922,101,298,0.05,-0.586,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
