setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium L-leucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DWLyv,298.15,0.05641,100,998.525,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.07287,100,998.954,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.09146,100,999.435,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.11317,100,999.978,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.15444,100,1001.01,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.19112,100,1001.9,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.23353,100,1002.93,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.28272,100,1004.13,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.34242,100,1005.51,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.39568,100,1006.7,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.45269,100,1008.01,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.51271,100,1009.37,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0,100,995.65,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.03697,100,996.605,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.05641,100,997.088,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.07287,100,997.496,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.09146,100,997.966,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.11317,100,998.492,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.15444,100,999.496,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
