setid,"Temperature, K",Mole fraction of 3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Spdzn,298.15,0,101,997.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.0501,101,1056,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.0965,101,1080.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.2075,101,1104.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.3982,101,1119,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.582,101,1124.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.7243,101,1126.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.7976,101,1127.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,0.9346,101,1129,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,298.15,1,101,1129.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0,101,994.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.0501,101,1050.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.0965,101,1073.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.2075,101,1097.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.3982,101,1112.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.582,101,1117.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.7243,101,1120.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.7976,101,1121.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,0.9346,101,1122.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,308.15,1,101,1123.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0,101,990.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.0501,101,1044.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.0965,101,1066.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.2075,101,1090.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.3982,101,1105.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.582,101,1111.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.7243,101,1113.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.7976,101,1114.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,0.9346,101,1115.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,318.15,1,101,1116.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
