setid,Mole fraction of tetrapropylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wkOiq,0.0306,358.15,101,941.1,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,298.15,101,998.5,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,308.15,101,991.9,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,318.15,101,985.1,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,328.15,101,978.2,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,338.15,101,971.1,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0556,348.15,101,963.9,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,298.15,101,997.2,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,308.15,101,990,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,318.15,101,982.8,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,328.15,101,975.5,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,338.15,101,968.2,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,348.15,101,960.8,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0934,358.15,101,953.3,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,298.15,101,990.1,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,308.15,101,983.3,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,318.15,101,976.4,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,328.15,101,969.6,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,338.15,101,962.6,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,348.15,101,955.6,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.1574,358.15,101,948.6,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
