setid,"Temperature, K",Mole fraction of N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uiNDa,288.15,1,100,1215.5,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0,100,782.169,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.1001,100,914.5,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.2,100,998.082,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.3,100,1055.5,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.4,100,1097.74,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.5002,100,1129.58,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.6002,100,1155.01,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.7001,100,1173.51,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.8,100,1189.52,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,0.8999,100,1202.6,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,293.15,1,100,1212.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0,100,776.766,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.1001,100,909.9,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.2,100,993.9,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.3,100,1051.55,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.4,100,1093.98,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.5002,100,1125.95,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.6002,100,1151.49,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.7001,100,1170.05,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.8,100,1186.13,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,0.8999,100,1199.3,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,298.15,1,100,1209,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0,100,771.333,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.1001,100,905.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.2,100,989.6,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.3,100,1047.61,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.4,100,1090.24,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.5002,100,1122.35,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.6002,100,1147.98,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.7001,100,1166.61,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.8,100,1182.75,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,0.8999,100,1195.9,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,303.15,1,100,1205.7,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0,100,765.868,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.1001,100,900.6,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.2,100,985.4,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.3,100,1043.68,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.4,100,1086.5,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.5002,100,1118.75,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.6002,100,1144.49,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.7001,100,1163.19,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.8,100,1179.38,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,0.8999,100,1192.6,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,308.15,1,100,1202.5,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0,100,760.373,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.1001,100,895.9,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.2,100,981.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.3,100,1039.75,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.4,100,1082.78,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.5002,100,1115.17,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.6002,100,1141.02,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.7001,100,1159.79,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.8,100,1176.04,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,0.8999,100,1189.3,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,313.15,1,100,1199.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0,100,754.842,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.1001,100,891.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.2,100,977,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.3,100,1035.83,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.4,100,1079.06,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.5002,100,1111.61,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.6002,100,1137.56,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.7001,100,1156.4,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.8,100,1172.72,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,0.8999,100,1186,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,318.15,1,100,1196,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
