setid,"Temperature, K","MolaLity of benzyldimethyltetradecylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rIxCY,298.15,0.0014,101.325,997.042,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0019,101.325,997.038,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0024,101.325,997.032,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0029,101.325,997.026,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0046,101.325,997.004,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0071,101.325,996.971,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0083,101.325,996.955,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0097,101.325,996.935,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0113,101.325,996.912,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.014,101.325,996.875,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.015,101.325,996.861,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0171,101.325,996.833,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0191,101.325,996.807,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0218,101.325,996.772,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0235,101.325,996.75,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,298.15,0.0248,101.325,996.732,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
