setid,"Temperature, K",Mole fraction of 1-butyronitrile-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yrxCV,293.15,1,100,1312.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0,100,776.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.1004,100,942.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.2003,100,1049.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.3013,100,1122.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.3996,100,1171.5,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.4999,100,1210.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.5996,100,1240.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.7001,100,1264.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.8024,100,1282.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,0.8885,100,1294.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,298.15,1,100,1308.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0,100,771.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.1004,100,938.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.2003,100,1045.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.3013,100,1117.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.3996,100,1167.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.4999,100,1206,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.5996,100,1236.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.7001,100,1260.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.8024,100,1279.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,0.8885,100,1291.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,303.15,1,100,1304.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0,100,765.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.1004,100,934.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.2003,100,1041.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.3013,100,1113.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.3996,100,1163,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.4999,100,1201.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.5996,100,1232.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.7001,100,1257,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.8024,100,1275.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,0.8885,100,1287.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,308.15,1,100,1301,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0,100,760.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.1004,100,930.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.2003,100,1037,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.3013,100,1109,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.3996,100,1158.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.4999,100,1197.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.5996,100,1228.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.7001,100,1253.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.8024,100,1272.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,0.8885,100,1284.1,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,313.15,1,100,1297.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0,100,754.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.1004,100,926.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.2003,100,1032.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.3013,100,1104.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.3996,100,1154.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.4999,100,1193.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.5996,100,1224.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.7001,100,1249.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.8024,100,1268.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,0.8885,100,1280.5,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,318.15,1,100,1293.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0,100,749.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.1004,100,922.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.2003,100,1028.5,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.3013,100,1100.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.3996,100,1150.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.4999,100,1189.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.5996,100,1220.5,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.7001,100,1246,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.8024,100,1265.4,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,0.8885,100,1276.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,323.15,1,100,1289.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
