setid,"MolaLity of tetrahexylammonium bromide, mol/kg",Solvent: Mole fraction of dimethylformamide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XgRIq,0.02412,0.5,101,298.15,1075.06,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.02508,0.75,101,298.15,1010.94,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.02991,0.25,101,298.15,1136.51,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.03384,0.5,101,298.15,1074.69,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.03397,1,101,298.15,944.91,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.03449,0.75,101,298.15,1010.9,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.0381,0,101,298.15,1194.91,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.04152,0.75,101,298.15,1010.86,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.0438,0.5,101,298.15,1074.31,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.04848,1,101,298.15,945.29,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.04852,0.5,101,298.15,1074.13,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.04908,0,101,298.15,1193.7,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.05009,0.75,101,298.15,1010.82,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.05501,0,101,298.15,1193.05,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.05818,0.25,101,298.15,1134.44,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.06991,1,101,298.15,945.84,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.08062,0.25,101,298.15,1132.83,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
