setid,"Temperature, K","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YhuvO,288.15,0.05,0.0818,100,1003,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.09801,100,1003.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0,100,997.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.01834,100,997.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.03395,100,998,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.04936,100,998.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.0661,100,998.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.07309,100,998.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.08073,100,999.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.005,0.098076,100,999.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0,100,997.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.01817,100,997.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.03436,100,998.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.04964,100,998.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.06614,100,998.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.07252,100,999.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.08203,100,999.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.01,0.09813,100,999.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0,100,998.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.0185,100,998.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.03342,100,999,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.04842,100,999.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.06579,100,999.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.07305,100,999.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.08162,100,1000.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.03,0.09995,100,1000.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0,100,999,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.01809,100,999.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.03331,100,999.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.04934,100,1000.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.06584,100,1000.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.07331,100,1000.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.0818,100,1000.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,298.15,0.05,0.09801,100,1001.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0,100,994.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.01834,100,994.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.03395,100,995,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.04936,100,995.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.0661,100,995.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.07309,100,995.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.08073,100,996,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.005,0.098076,100,996.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0,100,994.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.01817,100,994.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.03436,100,995.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.04964,100,995.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.06614,100,995.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.07252,100,996,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.08203,100,996.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.01,0.09813,100,996.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0,100,995.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.0185,100,995.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.03342,100,995.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.04842,100,996.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.06579,100,996.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.07305,100,996.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.08162,100,997,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.03,0.09995,100,997.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0,100,996,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.01809,100,996.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.03331,100,996.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.04934,100,997.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.06584,100,997.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.07331,100,997.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.0818,100,997.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,308.15,0.05,0.09801,100,998.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0,100,990.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.01834,100,990.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
