setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kySrk,323.15,0.8988,101,996.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,1.0021,101,997.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,1.0887,101,997.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,1.1899,101,998.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.1111,101,986.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.1838,101,987.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.2822,101,988.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.3953,101,989.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.4799,101,990.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.6019,101,991.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.6963,101,992.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.8167,101,993.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,0.8988,101,993.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,1.0021,101,994.7,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,1.0887,101,995.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,328.15,1.1899,101,996.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.1111,101,984.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.1838,101,984.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.2822,101,985.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.3953,101,986.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.4799,101,987.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.6019,101,988.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.6963,101,989.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.8167,101,990.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,0.8988,101,991.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,1.0021,101,991.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,1.0887,101,992.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,333.15,1.1899,101,993.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
