setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NJycK,293.15,0.00378,84.5,0.035,999.773,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00488,84.5,0.035,999.815,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00504,84.5,0.035,999.818,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.0055,84.5,0.035,999.833,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00606,84.5,0.035,999.85,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00769,84.5,0.035,999.902,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00899,84.5,0.035,999.939,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.01353,84.5,0.035,1000.07,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.0151,84.5,0.035,1000.11,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.01835,84.5,0.035,1000.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.02137,84.5,0.035,1000.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.02626,84.5,0.035,1000.41,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.02989,84.5,0.035,1000.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.04546,84.5,0.035,1000.91,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.06577,84.5,0.035,1001.45,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.07572,84.5,0.035,1001.7,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.09927,84.5,0.035,1002.3,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0,84.5,0.035,998.457,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00256,84.5,0.035,998.546,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00285,84.5,0.035,998.554,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00378,84.5,0.035,998.589,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00488,84.5,0.035,998.628,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00504,84.5,0.035,998.633,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.0055,84.5,0.035,998.646,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00606,84.5,0.035,998.663,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00769,84.5,0.035,998.714,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.00899,84.5,0.035,998.748,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.01353,84.5,0.035,998.873,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.0151,84.5,0.035,998.912,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.01835,84.5,0.035,999,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.02137,84.5,0.035,999.074,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.02626,84.5,0.035,999.202,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.02989,84.5,0.035,999.295,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.04546,84.5,0.035,999.685,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.06577,84.5,0.035,1000.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.07572,84.5,0.035,1000.44,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,298.15,0.09927,84.5,0.035,1001.02,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0,84.5,0.035,997.046,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00256,84.5,0.035,997.13,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00285,84.5,0.035,997.138,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00378,84.5,0.035,997.17,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00488,84.5,0.035,997.209,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00504,84.5,0.035,997.213,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.0055,84.5,0.035,997.225,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00606,84.5,0.035,997.24,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00769,84.5,0.035,997.29,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.00899,84.5,0.035,997.322,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.01353,84.5,0.035,997.445,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.0151,84.5,0.035,997.481,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.01835,84.5,0.035,997.565,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.02137,84.5,0.035,997.637,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.02626,84.5,0.035,997.761,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.02989,84.5,0.035,997.85,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.04546,84.5,0.035,998.227,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.06577,84.5,0.035,998.723,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.07572,84.5,0.035,998.955,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,303.15,0.09927,84.5,0.035,999.519,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0,84.5,0.035,995.419,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00256,84.5,0.035,995.499,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00285,84.5,0.035,995.508,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00378,84.5,0.035,995.537,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00488,84.5,0.035,995.574,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00504,84.5,0.035,995.577,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.0055,84.5,0.035,995.589,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00606,84.5,0.035,995.606,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00769,84.5,0.035,995.652,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.00899,84.5,0.035,995.684,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.01353,84.5,0.035,995.804,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.0151,84.5,0.035,995.839,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.01835,84.5,0.035,995.919,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.02137,84.5,0.035,995.99,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
