setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EnhwF,298.15,0.4998,101,1229.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.5203,101,1240.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.5406,101,1251.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.5604,101,1263.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.5796,101,1275.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.6001,101,1287.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.6195,101,1298.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.6403,101,1312.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.6594,101,1325.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.68,101,1339.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7004,101,1352.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7206,101,1367.6,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7403,101,1381.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7596,101,1398.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7799,101,1412.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.7994,101,1429.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.8207,101,1444.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.84,101,1459,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.8605,101,1473.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.8778,101,1486,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.8998,101,1502.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.9202,101,1517,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.9393,101,1532.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.9606,101,1550,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.9803,101,1569.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,1,101,1620,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.3002,101,1119.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.3196,101,1128.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.3385,101,1137.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.3599,101,1148.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.3805,101,1158.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4,101,1167.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4202,101,1179.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4399,101,1189.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4605,101,1200.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4804,101,1210.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.4998,101,1224,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.5203,101,1234.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.5406,101,1245.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.5604,101,1256.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.5796,101,1268.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.6001,101,1280.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.6195,101,1291.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.6403,101,1306,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.6594,101,1316.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.68,101,1332.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7004,101,1345.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7206,101,1360,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7403,101,1373.6,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7596,101,1390.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7799,101,1404,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.7994,101,1420.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.8207,101,1435.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.84,101,1450.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.8605,101,1464.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.8778,101,1477.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.8998,101,1493.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.9202,101,1507.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.9393,101,1523.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.9606,101,1540.6,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,0.9803,101,1560.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,308.15,1,101,1609.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.3002,101,1114.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.3196,101,1123.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.3385,101,1131.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.3599,101,1142.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.3805,101,1153.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4,101,1161.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4202,101,1173.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4399,101,1183,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4605,101,1194.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4804,101,1204.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.4998,101,1217.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.5203,101,1227.6,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.5406,101,1238.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
