setid,"Solvent: MolaLity of 1-methyl-3-octylimidazolium chloride, mol/kg","Temperature, K","MolaLity of N-(carboxymethyl)glycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nOkTv,0.1,298.15,0.1499,101,1005.8,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,298.15,0.1996,101,1008.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,298.15,0.2484,101,1011.1,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,298.15,0.2994,101,1013.9,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0,101,994.8,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.0495,101,997.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.1002,101,999.9,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.1499,101,1002.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.1996,101,1005.1,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.2484,101,1007.7,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.1,308.15,0.2994,101,1010.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0,101,1001.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.0501,101,1004.1,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.0997,101,1006.9,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.1504,101,1009.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.201,101,1012.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.2555,101,1015.2,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,288.15,0.2978,101,1017.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0,101,998.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.0501,101,1001.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.0997,101,1004,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.1504,101,1006.7,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.201,101,1009.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.2555,101,1012.2,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,298.15,0.2978,101,1014.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0,101,995,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.0501,101,997.7,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.0997,101,1000.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.1504,101,1003,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.201,101,1005.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.2555,101,1008.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
nOkTv,0.3,308.15,0.2978,101,1010.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water
