setid,"Temperature, K","MolaLity of tetraethylammonium chloride, mol/kg","MolaLity of triethylamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ueSha,298.15,0,0.24285,101,993.06,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.03229,0,101,997.112,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.05284,0,101,997.126,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.05284,0.46818,101,988.78,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.05284,0.51393,101,988.927,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.05284,0.67299,101,986.57,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.06026,0,101,997.113,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.06357,0,101,997.113,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.13266,0,101,997.124,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.13593,0,101,997.125,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.18041,0,101,997.138,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.19027,0,101,997.142,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.19027,0.39421,101,991.22,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.19027,0.61398,101,987.965,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.19027,0.65296,101,987.192,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.23557,0,101,997.161,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.29751,0,101,997.171,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.29751,0.39711,101,991.18,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.29751,0.54799,101,989.205,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.29751,0.70885,101,986.409,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
