setid,"Temperature, K",Mole fraction of 3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Rkres,298.15,0.0977,101,903.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.2202,101,982.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.3246,101,1024.3,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.4377,101,1056,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.4947,101,1068.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.6214,101,1090.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.7252,101,1104.1,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.7455,101,1106.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,0.9063,101,1121.8,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,298.15,1,101,1129.6,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.0977,101,895.3,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.2202,101,974.9,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.3246,101,1017.1,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.4377,101,1048.9,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.4947,101,1061.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.6214,101,1083.5,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.7252,101,1097.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.7455,101,1099.7,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,0.9063,101,1115.2,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,308.15,1,101,1123.1,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.0977,101,887.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.2202,101,967.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.3246,101,1009.8,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.4377,101,1042,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.4947,101,1054.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.6214,101,1076.8,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.7252,101,1090.7,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.7455,101,1093,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,0.9063,101,1108.8,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,318.15,1,101,1116.6,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
