setid,"Temperature, K","MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vmMvs,323.15,0.2452,101,988.489,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.2935,101,988.618,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.3425,101,988.759,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.3907,101,988.904,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.4904,101,989.213,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0,101,983.232,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.0496,101,983.186,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.0994,101,983.188,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.1483,101,983.197,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.1964,101,983.225,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.2452,101,983.267,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.2935,101,983.321,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.3425,101,983.382,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.3907,101,983.456,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,333.15,0.4904,101,983.616,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
