setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of hexan-1-ol, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oLDWO,0.05,0.07,308.15,101,994.586,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.082,298.15,101,997.551,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.082,308.15,101,994.343,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0,298.15,101,1000.97,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0,308.15,101,997.734,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.01,298.15,101,1000.78,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.01,308.15,101,997.545,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.02,298.15,101,1000.59,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.02,308.15,101,997.351,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.03,298.15,101,1000.4,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.03,308.15,101,997.152,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.04,298.15,101,1000.2,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.04,308.15,101,996.949,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.05,298.15,101,1000.01,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.05,308.15,101,996.746,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.057,298.15,101,999.869,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.057,308.15,101,996.601,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.062,298.15,101,999.768,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.062,308.15,101,996.494,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.07,298.15,101,999.611,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.07,308.15,101,996.328,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.08,298.15,101,999.411,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.1,0.08,308.15,101,996.119,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
