setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lpEaj,313.15,0.04989,100,766.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.10143,100,772.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.14971,100,777.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.19946,100,783.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.24989,100,788.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.29867,100,794.2,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.35041,100,800.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,313.15,0.39798,100,805.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.04989,100,760.9,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.10143,100,766.7,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.14971,100,772.2,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.19946,100,777.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.24989,100,783.6,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.29867,100,789.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.35041,100,795.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,318.15,0.39798,100,800.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.04989,100,755.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.10143,100,761.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.14971,100,766.9,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.19946,100,772.7,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.24989,100,778.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.29867,100,784.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.35041,100,790.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,323.15,0.39798,100,795.6,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.04989,100,749.9,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.10143,100,755.9,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.14971,100,761.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.19946,100,767.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.24989,100,773.2,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.29867,100,778.9,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.35041,100,785,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,328.15,0.39798,100,790.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
