setid,"Temperature, K",Weight fraction of dodecane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QhvTp,343.15,0,101,874.3,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,343.15,0.1,101,856.3,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,343.15,0.2,101,838.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,348.15,0.1,101,853.4,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,348.15,0.2,101,835.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,353.15,0,101,868.2,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,353.15,0.1,101,850.5,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,353.15,0.2,101,832.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,358.15,0.1,101,847.5,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,358.15,0.2,101,829.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,363.15,0.1,101,844.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,363.15,0.2,101,826.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
