setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ptGYv,293.15,0.458,101,1005.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.57,101,982.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.676,101,955.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.754,101,931.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.848,101,895.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.168,101,1046.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.261,101,1034.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.358,101,1019.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.458,101,1002.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.57,101,979.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.676,101,952.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.754,101,928,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,298.15,0.848,101,891.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.168,101,1043,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.261,101,1031.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.358,101,1016.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.458,101,999.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.57,101,976.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.676,101,949,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.754,101,924.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,303.15,0.848,101,888,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.168,101,1039.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.261,101,1028,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.358,101,1013.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.458,101,996.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.57,101,972.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.676,101,945.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.754,101,921.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,308.15,0.848,101,884.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.168,101,1036.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.261,101,1024.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.358,101,1010.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.458,101,993,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.57,101,969.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.676,101,942.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.754,101,917.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,313.15,0.848,101,880.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.168,101,1033.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.261,101,1021.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.358,101,1007.3,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.458,101,989.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.57,101,966.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.676,101,938.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.754,101,914.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,318.15,0.848,101,877.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.168,101,1030.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.261,101,1018.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.358,101,1004.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.458,101,986.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.57,101,962.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.676,101,935.3,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.754,101,910.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,323.15,0.848,101,873.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.168,101,1024.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.261,101,1012.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.358,101,997.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.458,101,980.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.57,101,956.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.676,101,928.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.754,101,903.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,328.15,0.848,101,866.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
