setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg",Solvent: Weight fraction of D-sorbitol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
akUEV,293.15,0.2427,0.08,87,1038.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2824,0.04,87,1022,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2824,0.12,87,1054.4,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2954,0.08,87,1040.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3227,0.08,87,1041.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3228,0.04,87,1023.4,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3228,0.12,87,1055.8,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3636,0.12,87,1057.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3639,0.04,87,1024.9,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.3648,0.08,87,1042.8,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.4021,0.12,87,1058.7,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.4026,0.04,87,1026.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.4057,0.08,87,1044.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0,0.04,87,1009,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0,0.08,87,1026.8,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0,0.12,87,1041,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.0402,0.04,87,1010.9,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.0402,0.08,87,1028.6,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.0403,0.12,87,1042.9,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.081,0.04,87,1012.6,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.081,0.12,87,1044.6,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.0811,0.08,87,1030.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.1214,0.04,87,1014.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.1214,0.08,87,1032,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.1214,0.12,87,1046.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.1618,0.04,87,1015.9,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,298.15,0.1619,0.08,87,1033.6,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
