setid,Mole fraction of butan-2-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZPWCy,0.306,308.15,101,1187.37,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.405,288.15,101,1165.21,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.405,298.15,101,1158.22,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.405,308.15,101,1151.25,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.507,288.15,101,1122.93,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.507,298.15,101,1115.87,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.507,308.15,101,1108.83,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.608,288.15,101,1075.89,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.608,298.15,101,1068.69,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.608,308.15,101,1061.49,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.713,288.15,101,1019.51,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.713,298.15,101,1012.15,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.713,308.15,101,1004.76,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.801,288.15,101,964.94,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.801,298.15,101,957.44,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.801,308.15,101,949.85,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.905,288.15,101,890.81,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.905,298.15,101,883.1,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.905,308.15,101,875.21,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.948,288.15,101,856.61,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.948,298.15,101,848.81,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.948,308.15,101,840.73,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,1,288.15,101,810.96,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,1,298.15,101,802.82,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,1,308.15,101,794.34,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
